screen_name,id,followers_count,friends_count,favorites_count,statuses_count,last_status,created_at,
OConnorKeith,400000058,21,37,2,58,1447542067,1319799350,1,
LicenciadoRock,4239813972,84,272,21,33,1452473657,1447546549,1,
mckgomes85,1540565060,3,34,4,0,NULL,1371979834,2,
pasatebo2000,377894675,34,162,17,37,1452452252,1316682209,1,
edwinglp,122203731,216,371,655,2029,1442692147,1268350476,1,
IanCleggWalsh,2396036239,2662,2541,176,4207,1452477863,1395140451,1,
BandmasterK,353361082,236,300,18,739,1445960646,1313105342,1,
isac_svennberg,4470348382,3,19,1,1,1450991138,1450010735,1,
HARRYJOYCEUSA,3000430210,5109,1310,151,723,1452384778,1422308300,1,
darioWx,1492541790,37,153,70,63,1452461097,1370687766,1,
leomessi552,3033553224,48,228,15,12,1452473563,1424476497,1,
EFbig,249771570,41,365,8,7,1438047968,1297278201,1,
WatersinMN,29796281,195,847,880,2093,1452401520,1239218748,1,
vinicius150599,234891817,50,481,11,0,NULL,1294347020,2,
anniewelch83,3984211367,236,867,231,144,1452138575,1445139444,1,
joebusdriver,59821348,75,1107,453,47,1452378680,1248452285,1,
MarcioRock00,472520976,11,44,1,3,1451827933,1327368352,1,
JimmyFerguson14,3044488574,979,2172,290,649,1452462314,1424979729,1,
GearheadJason,4644627629,70,197,23,14,1451953162,1451405363,1,
ErTy_ShoT,2895789613,30,203,57,242,1451913415,1415632472,1,
Chris_5480,4678918944,63,223,245,11,1452460425,1451495209,1,
AlexisAnkney,4679589054,26,147,2,0,NULL,1451507144,2,
astora_of,4679577678,10,40,10,2,1451675917,1451506651,1,
vanedwards1989,2950242279,170,284,122,774,1452286143,1419898003,1,
Damon44579214,1681845499,266,252,29,346,1452477989,1376866825,1,
MiyukiSon,615018109,15096,1259,16075,28315,1452431362,1340358026,1,
Dirtier_Dan,1395234560,224,145,488,1803,1452142516,1367432221,1,
nermeenroka,1124365663,3228,3413,12873,21657,1452457590,1359274298,1,
Breizh63,106476943,253,1049,31,2619,1452463308,1263923556,1,
ngobrolpakeSeni,4679342232,50,271,9,80,1452423474,1451502468,1,
Raydog97Rocks,4349074393,72,194,0,1,1448837037,1448401039,1,
MusikVorschlag,3123848579,369,1176,47,152,1452353932,1427550666,1,
mymusiclock,2998328393,169,405,177,120,1452481158,1422210405,1,
shittay_3,4674716023,28,101,21,17,1452309019,1451423761,1,
WBVT_98FM,16134535,18143,6461,7999,60970,1452482530,1220558985,1,
1amkfed,1345154898,217,634,3639,7879,1452484036,1365710320,1,
olduglytroll,3436140148,55,175,9,7,1452433999,1440285427,1,
KyleAlistair,3633625037,12,113,14,0,NULL,1442080482,2,
ttiid,951694880,27,106,22,0,NULL,1353072562,2,
classicaloves,3303231770,25,140,477,95,1451498746,1438422683,1,
bury_the_doubt,3230295625,112,400,5,18,1451261437,1432952231,1,
My_Rare_Guitars,27982873,1645,105,0,687,1448994950,1238539053,1,
floreshenry,67423455,230,3677,6625,0,NULL,1250802058,2,
Dangeloz10,4537384103,5,20,2,4,1452222811,1450544454,1,
guitarability,3246950255,110,320,100,26,1452471306,1431385946,1,
Reem____Amr,2437677632,288,516,135,73,1451685256,1397174832,1,
arundhatiroy6,1621848871,12,1187,247,0,NULL,1374806385,2,
celtikahsena,3337794585,206,145,1568,0,NULL,1434840372,2,
baileyy_alexis7,4675160720,12,23,22,18,1451796738,1451432449,1,
himalayanjunkie,4529005524,267,1364,102,16,1451618716,1449842638,1,
burning_trail,2907295348,111,421,0,2,1452194534,1417838987,1,
GerardoRicarte,2265894928,10,78,9,250,1435606644,1389045477,1,
MMoggggg,4654035220,7,80,2,0,NULL,1451480372,2,
iloveseike,2643502731,152,705,274,482,1451351553,1403777807,1,
WilliamRiggs,306487379,380,1376,3,96,1452349099,1306540270,1,
ViktorGraves,1246034622,1741,2180,540,8047,1452478722,1362574772,1,
MattAbear,23536458,183,680,143,96,1452277931,1236647964,1,
SabatierFrdric1,3426094137,382,1840,5096,1877,1452457619,1439740596,1,
0d837ab897a9481,2886160871,42,384,148,0,NULL,1416519799,2,
pure_mad_mental,3036905837,179,632,255,121,1450211624,1423925866,1,
MavPR,133202366,1340,2035,479,2498,1452462789,1271318138,1,
Jakster53,428302607,24,132,1,3,1427463414,1323014404,1,
Gurbanol,4654147043,23,87,9,3,1451686380,1451481793,1,
heliadicar1,3277812224,41,168,39,104,1451836338,1436733459,1,
jesuscastillogp,4675264812,52,102,53,45,1452395673,1451435446,1,
AAvenida,453955276,4,19,0,2,1399925879,1325597057,1,
claudiodalporto,2707939782,48,681,18,253,1452380514,1407202900,1,
xXirisuXx,3063810561,41,117,374,49,1451988880,1424944014,1,
franciscoveraq1,3300833499,216,317,24,75,1452351158,1432759269,1,
TprHungary,4237245359,312,535,1772,765,1452452045,1448053330,1,
Dan_9390,708519566,70,219,385,315,1452260189,1342853386,1,
alleybianca,1338208532,137,798,1386,1978,1452401928,1365478251,1,
RazaHus7n,4673599070,102,241,352,3,1451491507,1451405680,1,
adityakumar875,4677752473,30,59,9,1,1451491808,1451473794,1,
undeniable1936,42150569,405,2053,479,4474,1452474698,1243133648,1,
jkdurden,17839737,813,1174,1486,8748,1452452866,1228320529,1,
pressbackstage,4096590813,82,508,1,72,1452441821,1446460818,1,
hhampton28,572036404,77,407,1,13,1450441199,1336248491,1,
Gus_Manson_11,3716636175,112,147,848,2212,1452475879,1442744768,1,
Gus_Manson_11,3716636175,112,147,848,2212,1452475879,1442744768,1,
d155eb5e09ce4cb,2692417393,15,45,89,2,1406716670,1406715724,1,
AndyGonzalezH,1286594683,519,1812,1266,0,NULL,1363888932,2,
ndlovuhausmann,3157590351,82,670,4,7,1450760769,1428784011,1,
HerrRabbit,83831196,24,183,3,24,1417352373,1256041078,1,
HalloweenLoverX,4502634806,673,1615,982,1251,1452484639,1449626374,1,
FlowersinSyrup,1683956322,2576,4992,198,435,1452468013,1376939800,1,
EMialich,2547681274,92,303,1489,665,1452353052,1400083792,1,
antonio35296374,4643382028,114,674,9,7,1451480795,1451394839,1,
mhstyler09,4677487297,17,61,1,0,NULL,1451469316,2,
Angelomix15,4677260238,51,203,0,0,NULL,1451467718,2,
LawrenceBeau,15027341,902,2025,66,10372,1452430017,1212734965,1,
PabloMejiaB,928884229,79,181,1,6,1441562944,1352170396,1,
caffynsskoda,3456243915,1046,3776,3,95,1452445321,1440667791,1,
Crazymello69,2843761131,24,125,3,1,1451464172,1414249685,1,
mcleodamberrae,4538108894,233,712,11,94,1452478909,1449926315,1,
szymonkardas,860294922,225,577,326,1062,1452165354,1349296364,1,
AUZZYB0I,4651891589,26,60,10,18,1452228922,1451463688,1,
pit_master_m,4164540134,176,398,653,430,1452036787,1446957926,1,
Joethegooner,21227484,254,785,154,1575,1451661157,1234983258,1,
HG_LFC51,634060863,316,1099,402,6679,1452445200,1342121109,1,
GrantLycour,1237229785,49,74,164,0,NULL,1362272753,2,
Elijah1349,4650650362,54,168,263,485,1452472568,1451453184,1,
Bspielz,67367646,268,2025,74,2044,1452401841,1250789078,1,
joyceandgeo42,2906837524,20,101,0,6,1451458404,1417810943,1,
rubenfuzz,2674182515,112,436,224,17,1452476630,1404527509,1,
GuitarOlic,4676567444,7,25,0,1,1451455567,1451454830,1,
stringtheorypod,4676429712,9,19,0,2,1451455565,1451453835,1,
Lightsofphoenix,4640813913,80,217,17,2,1451535434,1451375171,1,
asifahmed69,453209142,150,527,1,34,1448124284,1325527215,1,
fostinisguitars,3349684972,39,122,12,50,1452387095,1435520305,1,
timmyob1,624128987,9,189,12,1,1387307562,1341180524,1,
the_bewitched,275289082,61,214,577,0,NULL,1301617797,2,
gilles_bee,52878904,24,341,69,198,1449872045,1246488483,1,
Bety1Nava,2753070220,331,2861,110,0,NULL,1409197232,2,
n_garf23,3957101758,65,318,0,0,NULL,1444837346,2,
azindenver,217254569,42,332,76,872,1452460942,1290127095,1,
PetrakMelissa,716914412,9693,7993,6367,24569,1452479904,1343256361,1,
wpaw33,3248031822,33,165,21,4,1446518193,1434564450,1,
charithgunawar1,4649664435,16,55,0,1,1451474480,1451446203,1,
Leedler49,3082879881,49,114,51,298,1452460260,1425949978,1,
rademeym,403957500,5,51,4,0,NULL,1320305142,2,
nibester77,4675204752,12,87,1,0,NULL,1451434650,2,
CaitlinRawrzerz,4011073785,124,459,371,118,1452483300,1445450084,1,
Jman1204,587006737,41,185,90,76,1452294454,1337646689,1,
AbelardoKevork,155305555,301,2077,3195,0,NULL,1276456922,2,
vicentesouza27,4669280604,7,31,3,0,NULL,1451335018,2,
mamo_metal555,3825004693,23,79,32,0,NULL,1444305022,2,
TexMexDemics,4623528434,59,217,245,104,1452473922,1450718204,1,
X_Marc_andre_X,4509720737,31,129,22,0,NULL,1450323436,2,
FaithMackersie,343818067,385,835,429,771,1452454920,1311824926,1,
thomas_zullich,1533400904,66,136,30,1219,1452034117,1371720047,1,
fridsofia666,4297494253,222,1456,43,0,NULL,1447995904,2,
LauraZuluaga013,3461578755,107,318,136,211,1452096836,1440710696,1,
ThatDean_Guy,304078263,422,382,1016,4749,1452408620,1306188351,1,
rickb0109,24563710,24,99,71,29,1451531359,1237142237,1,
expertgush,3897219198,11,47,19,0,NULL,1444870159,2,
CarloTacchini,385181877,52,212,1,15,1449684702,1317777244,1,
iamthewillsmith,245923336,28,134,95,379,1452310168,1296587576,1,
idea_bench,4675530162,28,106,5,9,1452302676,1451438869,1,
GalacticEmpire8,4214667556,446,448,146,150,1452458025,1447813673,1,
nicktebinka33,512526426,101,201,571,457,1452396473,1330728187,1,
WConsolati,3290408955,24,75,74,0,NULL,1432068116,2,
james12468928,4124354714,15,58,14,4,1451367036,1446643972,1,
LuisIloverockM1,4497693502,87,258,355,102,1452029071,1450227575,1,
